Date,Close,High,Low,Open,Volume
2021-01-25,122.64025115966797,124.6268229315799,122.39078591810313,123.52728098181397,340100
2021-01-26,120.55205535888672,123.65663860250763,119.43402979753188,123.3240041800175,455900
2021-01-27,120.84774017333984,121.41137041303311,118.26983359764091,119.79440003181537,626100
2021-01-28,123.35173034667969,124.71922123729868,121.54071746543154,121.92880273194746,452900
2021-01-29,125.17198181152344,125.69864480557214,122.35383075904248,122.834305880825,632600
2021-02-01,124.2664794921875,125.7818110573372,120.35802122752493,125.50461333589945,673100
2021-02-02,123.36097717285156,125.92964903311321,123.24086895847333,125.70790211496076,697200
2021-02-03,123.12071990966797,124.27569852045285,121.58690493081926,123.35171563182494,409300
2021-02-04,121.85489654541016,125.71713916149517,121.10647248527927,123.88765655907929,783300
2021-02-05,124.14634704589844,124.38657753212243,121.56844087454877,122.64025035827636,558600
2021-02-08,125.14424896240234,125.43991616544638,123.90611523311333,124.56213521106567,392200
2021-02-09,125.78179168701172,125.79102644005484,123.41639781288755,124.56212754005792,695800
2021-02-10,118.66712951660156,124.79314129728101,118.52853770662034,124.79314129728101,1373500
2021-02-11,120.56130981445312,121.23582762233565,117.13333339139717,118.27907045085684,984900
2021-02-12,118.38994598388672,120.33030181936195,117.13332149387408,119.59111260157353,605900
2021-02-16,116.37564849853516,119.26771961299951,115.84897850459784,119.26771961299951,690900
2021-02-17,116.16315460205078,116.90233684056967,115.43320711879342,115.90444046609758,901000
2021-02-18,113.43739318847656,116.24630243810861,113.1786790686763,115.90443322955727,607300
2021-02-19,114.55215454101562,115.08167116109998,112.91716008209019,113.79968541972003,817200
2021-02-22,117.87791442871094,118.0079706675984,113.55816910128172,114.00408126856264,857000
2021-02-23,118.60250854492188,119.28065788113976,117.06969486215496,118.351687838212,572100
2021-02-24,119.02983093261719,120.84133329914462,118.96479573673606,118.96479573673606,420700
2021-02-25,116.28005981445312,119.60579947364064,116.09426723280811,119.37355520281804,326400
2021-02-26,114.46856689453125,116.79100979666819,113.77183402389016,116.10356868214497,746400
2021-03-01,117.32981872558594,118.64896459832785,115.59262887624837,115.59262887624837,519800
2021-03-02,117.64564514160156,117.85931296726169,116.18715155458398,117.0325240153077,378300
2021-03-03,118.94621276855469,120.49761688381209,117.30192654280239,117.88718660813824,470000
2021-03-04,118.9833755493164,120.72985684076178,118.03581504278071,119.53146857586522,695200
2021-03-05,122.55064392089844,122.83862452237568,119.46644765742047,119.82874811977315,375600
2021-03-08,124.297119140625,126.4523383004517,122.78288217128524,123.18234963208958,371200
2021-03-09,125.33759307861328,128.48682499236156,125.15180048703353,125.86711684843499,677900
2021-03-10,128.88629150390625,129.0070488911848,124.57583820828748,125.32830741198454,569100
2021-03-11,126.77750396728516,128.82125071997058,126.65673241017295,127.76221740971124,495100
2021-03-12,126.60100555419922,129.03492116437033,126.33160841626824,127.59501791411884,457100
2021-03-15,128.3474578857422,128.47751409079902,125.47692253301852,126.61956020423668,374400
2021-03-16,127.63217163085938,128.18956359769592,126.36876212442085,127.68790799252972,473300
2021-03-17,128.79335021972656,129.5922708796069,127.27911341464757,128.6725786929229,654400
2021-03-18,132.4813995361328,134.35793688932856,129.56441256535348,129.94529650574137,673900
2021-03-19,133.50328063964844,134.31148603147102,131.18083831826127,132.99234049393067,1450100
2021-03-22,130.75352478027344,133.40111514389662,129.87099938408753,133.07596749395503,560500
2021-03-23,130.63275146484375,132.38851756575207,129.78739310149174,129.78739310149174,332800
2021-03-24,131.91476440429688,133.46615465086046,130.63277131279693,131.24589967612886,402500
2021-03-25,133.3453826904297,133.63337753302693,130.76282717668298,132.2491963849845,319800
2021-03-26,134.3765106201172,134.5623173508214,132.7229327773061,133.88415396889047,327600
2021-03-29,133.55905151367188,134.44157698892786,132.6300743449673,132.91805499925508,287900
2021-03-30,134.43231201171875,134.63667397770706,132.65796195757278,133.3082432359049,371900
2021-03-31,131.7010955810547,134.51589523413034,131.6360603760011,133.4382783294695,434400
2021-04-01,132.19345092773438,132.24918728857523,129.95461260018467,131.12511870304152,263400
2021-04-05,132.6486358642578,133.37325105420138,131.7289575934869,132.37923873824053,267100
2021-04-06,133.21533203125,133.93064848304437,131.71039342169246,132.70440588360768,228400
2021-04-07,135.240478515625,135.4913062842031,132.83443139593518,133.53116417249078,339100
2021-04-08,134.99896240234375,135.88148783472937,134.47872330608482,134.6366477160851,390800
2021-04-09,136.52247619628906,136.6989699322138,134.80386294988418,135.72355535053737,242400
2021-04-12,137.40501403808594,137.60939014565582,136.23449375381,136.84762207651963,313800
2021-04-13,137.7580108642578,138.1760619082392,135.91864013599022,136.51318492568612,329000
2021-04-14,138.882080078125,139.48590953887307,137.86949841468828,137.98097113357937,416300
2021-04-15,139.41159057617188,140.08044100093463,139.00283841238127,139.02140774705202,408300
